State,SourceX,SourceY,Correlation
CA,Other Biomass,Wood Fuels,-0.13916671310390655
CA,Other Gases,Coal,0.6733316515536278
CA,Other Gases,Geothermal,0.4753148051164919
CA,Other Gases,Hydro,0.48971198894825324
CA,Other Gases,Natural Gas,-0.6017064133429237
CA,Other Gases,Nuclear,0.5503014620652783
CA,Other Gases,Other,-0.7861771184604456
CA,Other Gases,Other Biomass,-0.06127221361148143
CA,Other Gases,Other Gases,1.0
CA,Other Gases,Petroleum,0.6161693604631266
CA,Other Gases,Pumped Storage,0.6126071245951215
CA,Other Gases,Solar,-0.4755979631589055
CA,Other Gases,Wind,-0.6706114799332309
CA,Other Gases,Wood Fuels,0.04340918583097738
CA,Petroleum,Coal,0.8406406724088832
CA,Petroleum,Geothermal,0.6821235335127206
CA,Petroleum,Hydro,0.2812932050307853
CA,Petroleum,Natural Gas,-0.38504669199966723
CA,Petroleum,Nuclear,0.7843661567949599
CA,Petroleum,Other,-0.8065792340497836
CA,Petroleum,Other Biomass,-0.569868789688005
CA,Petroleum,Other Gases,0.6161693604631266
CA,Petroleum,Petroleum,1.0
CA,Petroleum,Pumped Storage,0.3337561321697661
CA,Petroleum,Solar,-0.6793005426868435
CA,Petroleum,Wind,-0.8645334633648344
CA,Petroleum,Wood Fuels,0.34790845498976153
CA,Pumped Storage,Coal,0.3132576992806055
CA,Pumped Storage,Geothermal,-0.01145255486728523
CA,Pumped Storage,Hydro,0.3767328418001286
CA,Pumped Storage,Natural Gas,-0.43462370574164116
CA,Pumped Storage,Nuclear,0.17750209272264827
CA,Pumped Storage,Other,-0.4404512374815526
CA,Pumped Storage,Other Biomass,0.07258103981707885
CA,Pumped Storage,Other Gases,0.6126071245951215
CA,Pumped Storage,Petroleum,0.3337561321697661
CA,Pumped Storage,Pumped Storage,1.0
CA,Pumped Storage,Solar,-0.24628423563828503
CA,Pumped Storage,Wind,-0.3177505806202972
CA,Pumped Storage,Wood Fuels,-0.3176037771804328
CA,Solar,Coal,-0.8600726296116915
CA,Solar,Geothermal,-0.6714780612741265
CA,Solar,Hydro,-0.31268856257861316
CA,Solar,Natural Gas,0.018640818419127323
CA,Solar,Nuclear,-0.8205590899214129
CA,Solar,Other,0.5153837214093843
CA,Solar,Other Biomass,0.4853709030841037
CA,Solar,Other Gases,-0.4755979631589055
CA,Solar,Petroleum,-0.6793005426868435
CA,Solar,Pumped Storage,-0.24628423563828503
CA,Solar,Solar,1.0
CA,Solar,Wind,0.8615492845198264
CA,Solar,Wood Fuels,-0.49508620860635455
CA,Wind,Coal,-0.9568028526703066
CA,Wind,Geothermal,-0.7075529219161448
CA,Wind,Hydro,-0.418593457956957
CA,Wind,Natural Gas,0.37200209063731077
CA,Wind,Nuclear,-0.924069811125127
CA,Wind,Other,0.8043682664059575
CA,Wind,Other Biomass,0.6017282486323451
CA,Wind,Other Gases,-0.6706114799332309
CA,Wind,Petroleum,-0.8645334633648344
CA,Wind,Pumped Storage,-0.3177505806202972
CA,Wind,Solar,0.8615492845198264
CA,Wind,Wind,1.0
CA,Wind,Wood Fuels,-0.3423951526070001
CA,Wood Fuels,Coal,0.4435283056160043
CA,Wood Fuels,Geothermal,0.7567193551205293
CA,Wood Fuels,Hydro,-0.3870618312658662
CA,Wood Fuels,Natural Gas,0.2292314610546696
CA,Wood Fuels,Nuclear,0.30975093230590806
CA,Wood Fuels,Other,-0.15554165756742433
CA,Wood Fuels,Other Biomass,-0.13916671310390655
CA,Wood Fuels,Other Gases,0.04340918583097738
CA,Wood Fuels,Petroleum,0.34790845498976153
CA,Wood Fuels,Pumped Storage,-0.3176037771804328
CA,Wood Fuels,Solar,-0.49508620860635455
CA,Wood Fuels,Wind,-0.3423951526070001
