,Year,State,Source,Percentage
433,1990,ND,Percentage Total Renewable,6.339167394410035
434,1990,ND,Percentage Renewable Including Nuclear,6.339167394410035
435,1990,NE,Percentage Coal,58.52543084972454
436,1990,NE,Percentage Geothermal,0.0
437,1990,NE,Percentage Hydro,5.270013706002615
438,1990,NE,Percentage Natural Gas,1.4240125782192292
439,1990,NE,Percentage Nuclear,34.720538947147325
440,1990,NE,Percentage Other,0.0
441,1990,NE,Percentage Other Biomass,0.0
442,1990,NE,Percentage Other Gases,0.0
443,1990,NE,Percentage Petroleum,0.060003918906282164
444,1990,NE,Percentage Solar,0.0
445,1990,NE,Percentage Total,100.0
446,1990,NE,Percentage Wind,0.0
447,1990,NE,Percentage Wood Fuels,0.0
448,1990,NE,Percentage Total Renewable,5.270013706002615
449,1990,NE,Percentage Renewable Including Nuclear,39.99055265314993
450,1990,NH,Percentage Coal,23.854544498934157
451,1990,NH,Percentage Geothermal,0.0
452,1990,NH,Percentage Hydro,15.163702371167695
453,1990,NH,Percentage Natural Gas,0.0
454,1990,NH,Percentage Nuclear,32.89501431496931
455,1990,NH,Percentage Other,0.0
456,1990,NH,Percentage Other Biomass,1.1892113594980684
457,1990,NH,Percentage Other Gases,0.0
458,1990,NH,Percentage Petroleum,18.91540448050962
459,1990,NH,Percentage Solar,0.0
460,1990,NH,Percentage Total,100.0
461,1990,NH,Percentage Wind,0.0
462,1990,NH,Percentage Wood Fuels,7.982122974921153
463,1990,NH,Percentage Total Renewable,24.33503670558692
464,1990,NH,Percentage Renewable Including Nuclear,57.230051020556225
465,1990,NJ,Percentage Coal,17.658308471045213
466,1990,NJ,Percentage Geothermal,0.0
467,1990,NJ,Percentage Hydro,0.0784386154472257
468,1990,NJ,Percentage Natural Gas,17.299291242771805
469,1990,NJ,Percentage Nuclear,59.47230534671088
470,1990,NJ,Percentage Other,0.0
471,1990,NJ,Percentage Other Biomass,0.6156246639569221
472,1990,NJ,Percentage Other Gases,0.0
473,1990,NJ,Percentage Petroleum,5.24150641972693
474,1990,NJ,Percentage Solar,0.0
475,1990,NJ,Percentage Total,100.0
476,1990,NJ,Percentage Wind,0.0
477,1990,NJ,Percentage Wood Fuels,0.008684266346123582
478,1990,NJ,Percentage Total Renewable,0.7027475457502713
479,1990,NJ,Percentage Renewable Including Nuclear,60.17505289246115
480,1990,NM,Percentage Coal,89.61396664645399
481,1990,NM,Percentage Geothermal,0.0
482,1990,NM,Percentage Hydro,0.7128159120594705
483,1990,NM,Percentage Natural Gas,9.500581605876212
484,1990,NM,Percentage Nuclear,0.0
485,1990,NM,Percentage Other,0.0
486,1990,NM,Percentage Other Biomass,0.04902116584601553
487,1990,NM,Percentage Other Gases,0.0
488,1990,NM,Percentage Petroleum,0.12361466976430839
489,1990,NM,Percentage Solar,0.0
490,1990,NM,Percentage Total,100.0
491,1990,NM,Percentage Wind,0.0
492,1990,NM,Percentage Wood Fuels,0.0
493,1990,NM,Percentage Total Renewable,0.7618370779054859
494,1990,NM,Percentage Renewable Including Nuclear,0.7618370779054859
495,1990,NV,Percentage Coal,75.0761233344397
496,1990,NV,Percentage Geothermal,3.796339127565966
497,1990,NV,Percentage Hydro,8.653474931155719
498,1990,NV,Percentage Natural Gas,11.057113510087062
499,1990,NV,Percentage Nuclear,0.0
500,1990,NV,Percentage Other,0.0
501,1990,NV,Percentage Other Biomass,0.0
502,1990,NV,Percentage Other Gases,0.0
503,1990,NV,Percentage Petroleum,1.4169490967515574
504,1990,NV,Percentage Solar,0.0
505,1990,NV,Percentage Total,100.0
506,1990,NV,Percentage Wind,0.0
507,1990,NV,Percentage Wood Fuels,0.0
508,1990,NV,Percentage Total Renewable,12.449814058721685
509,1990,NV,Percentage Renewable Including Nuclear,12.449814058721685
510,1990,NY,Percentage Coal,19.14582327452284
511,1990,NY,Percentage Geothermal,0.0
512,1990,NY,Percentage Hydro,20.826833557436018
513,1990,NY,Percentage Natural Gas,16.78984728970908
514,1990,NY,Percentage Nuclear,17.454087862656166
515,1990,NY,Percentage Other,0.0
516,1990,NY,Percentage Other Biomass,1.1592382268066574
517,1990,NY,Percentage Other Gases,0.06578266266502224
518,1990,NY,Percentage Petroleum,25.03578392432321
519,1990,NY,Percentage Solar,0.0
520,1990,NY,Percentage Total,100.0
521,1990,NY,Percentage Wind,0.0
522,1990,NY,Percentage Wood Fuels,0.30142001121099593
523,1990,NY,Percentage Total Renewable,22.287491795453672
524,1990,NY,Percentage Renewable Including Nuclear,39.74157965810984
525,1990,OH,Percentage Coal,90.50802705320943
526,1990,OH,Percentage Geothermal,0.0
527,1990,OH,Percentage Hydro,0.14173640650815572
528,1990,OH,Percentage Natural Gas,0.1887669989044505
529,1990,OH,Percentage Nuclear,8.332437168351401
530,1990,OH,Percentage Other,0.0
531,1990,OH,Percentage Other Biomass,0.23775882716907393
532,1990,OH,Percentage Other Gases,0.05013184544864392
